robustness_run_id,model,level,segment_id,track_id,original_audio_id,label,score_clean,score_mp3_128,score_mp3_64
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000009,sample_00003,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,0,0.11571994002221456,0.3330685680356165,0.6329608092491831
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000010,sample_00003,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,0,0.76672511229963,0.779291487045042,0.7419120316266736
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000011,sample_00003,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,0,0.35551803749381555,0.4715321646250529,0.4825199294651747
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000012,sample_00004,3 am West End - statusq,0,0.040140095829940485,0.036912208342660055,0.039309309087843164
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000013,sample_00004,3 am West End - statusq,0,0.3613963584967394,0.27701926100003404,0.4861495939544199
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000014,sample_00004,3 am West End - statusq,0,0.21147366578330182,0.17672218886995775,0.0793494835647865
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000015,sample_00005,5 (Lexington) - Isle of Pine,0,0.013728830700951555,0.03359254204582671,0.024352573392211224
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000016,sample_00005,5 (Lexington) - Isle of Pine,0,0.13728008146165677,0.1533135885458241,0.18872850160754998
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000017,sample_00005,5 (Lexington) - Isle of Pine,0,0.09943674278759121,0.10433072904013076,0.10005510573897726
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000063,sample_00021,Attention - Pete Prodoehl,0,0.7583814650283804,0.8802475151419251,0.7976003798022604
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000064,sample_00021,Attention - Pete Prodoehl,0,0.9187062209575806,0.9240323305499857,0.8114559453881286
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000065,sample_00021,Attention - Pete Prodoehl,0,0.9290351547952803,0.9397173393725521,0.891532656471945
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000084,sample_00028,Bizzy - The Tleilaxu Music Machine,0,0.06213795836456639,0.35564541303074504,0.07183024686679196
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000085,sample_00028,Bizzy - The Tleilaxu Music Machine,0,0.19967601460072043,0.2160195979048998,0.08405703265911925
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000086,sample_00028,Bizzy - The Tleilaxu Music Machine,0,0.021437013936872026,0.03243932751921148,0.009416055423203371
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000135,sample_00045,Dance Harder - Three Chain Links,0,0.1364837963871985,0.4974757163180139,0.330030314936654
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000136,sample_00045,Dance Harder - Three Chain Links,0,0.4980882216632215,0.6100439611672146,0.7137554209970649
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000137,sample_00045,Dance Harder - Three Chain Links,0,0.27911219723898767,0.28476691536189935,0.420810164991213
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000147,sample_00049,Different Day - First,0,0.8726994780411256,0.9373674766132056,0.9705547753573961
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000148,sample_00049,Different Day - First,0,0.3424190314120523,0.35130250791836115,0.5085974360109042
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000149,sample_00049,Different Day - First,0,0.8449145454459868,0.8644320047484315,0.8901362819076776
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000168,sample_00056,El Burrito - Malaventura,0,0.08112940696643302,0.08754026879438687,0.06069415513490074
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000169,sample_00056,El Burrito - Malaventura,0,0.22863162683672705,0.23473223858009362,0.25691988574013785
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000170,sample_00056,El Burrito - Malaventura,0,0.565874588838016,0.5634271391832748,0.5101422873919479
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000183,sample_00061,End titles - Itsensäsyöjät,0,0.14338110482195804,0.2671236941834603,0.445118574372725
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000184,sample_00061,End titles - Itsensäsyöjät,0,0.5650661487003369,0.5891105011268114,0.48077959263031195
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000185,sample_00061,End titles - Itsensäsyöjät,0,0.9330069022710874,0.944601040818721,0.8601729482124795
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000237,sample_00079,Fuckaboing - RoccoW,0,0.46758072493076863,0.7249805492002999,0.3160172760605841
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000238,sample_00079,Fuckaboing - RoccoW,0,0.7679995099988032,0.7600134746979665,0.18309746386357817
mp3_optimized_20260919T175101Z,LogisticRegression,segment,seg_000239,sample_00079,Fuckaboing - RoccoW,0,0.8851847593700605,0.9134183674440576,0.4984205076835175
