segment_id,track_id,original_audio_id,label,score,run_id,model,variant,split,threshold,prediction
seg_000006,sample_00002,2 (Wasn't There) - Isle of Pine,0,-1.0031849580175143,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000007,sample_00002,2 (Wasn't There) - Isle of Pine,0,-0.19382821691562657,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000008,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.33432196929353636,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000039,sample_00013,Agora - Malaventura,0,-0.30383433371645074,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000040,sample_00013,Agora - Malaventura,0,0.49855691603873054,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000041,sample_00013,Agora - Malaventura,0,-0.22446215713885243,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000081,sample_00027,Beyond Luxury - Mors Ontologica,0,-2.184555798997958,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000082,sample_00027,Beyond Luxury - Mors Ontologica,0,-0.6784182702172681,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000083,sample_00027,Beyond Luxury - Mors Ontologica,0,-0.8783081013211989,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000129,sample_00043,CopperNickle - UncleBibby,0,0.2512369180458106,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000130,sample_00043,CopperNickle - UncleBibby,0,0.6611248076282075,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,1
seg_000131,sample_00043,CopperNickle - UncleBibby,0,-0.03877581125054741,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000141,sample_00047,Daylight Savings - My brother Daniel,0,0.20919881568171317,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000142,sample_00047,Daylight Savings - My brother Daniel,0,0.43828254266338795,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000143,sample_00047,Daylight Savings - My brother Daniel,0,0.7920995030848397,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,1
seg_000177,sample_00059,Empty Pockets - Pete Prodoehl,0,-1.2068952292090382,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000178,sample_00059,Empty Pockets - Pete Prodoehl,0,-0.41263305485622537,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000179,sample_00059,Empty Pockets - Pete Prodoehl,0,-1.0685080671612461,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000195,sample_00065,Evil Cannot Create - Caleb Lemond,0,-0.22005591602276087,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000196,sample_00065,Evil Cannot Create - Caleb Lemond,0,0.5148578894598353,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000197,sample_00065,Evil Cannot Create - Caleb Lemond,0,-0.49268931451965137,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000201,sample_00067,Fear - Los Fancy Free,0,-1.0760810553325617,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000202,sample_00067,Fear - Los Fancy Free,0,-0.18917207974018135,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000203,sample_00067,Fear - Los Fancy Free,0,-1.2246737776664238,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000204,sample_00068,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,0,1.3148450402690013,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,1
seg_000205,sample_00068,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,0,1.089259818726124,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,1
seg_000206,sample_00068,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,0,1.2237117592971694,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,1
seg_000240,sample_00080,Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,0,-0.39341683650666615,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000241,sample_00080,Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,0,-0.35646229379292405,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000242,sample_00080,Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,0,-0.7966873016600846,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000285,sample_00095,I Fell - Mod Fun,0,-2.148276298229817,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000286,sample_00095,I Fell - Mod Fun,0,-1.1823500458955811,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
seg_000287,sample_00095,I Fell - Mod Fun,0,-1.1447737211160012,classical_20260919T110356Z,RBF-SVM,baseline,val,0.5196503294173163,0
